0;1;2;3;4;5;6;7
lbp;nv;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 13:04:37.265202
rc;rf;0.8;0.8333333333333333;0.8160000000000001;0.8;0.2;2018-09-15 13:28:00.614380
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 13:28:00.646996
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 13:28:00.674148
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 13:57:11.486045
lbp;svm;0.8;0.8392857142857142;0.8121212121212122;0.8;0.2;2018-09-15 13:57:11.518547
lbp;nv;0.7;0.6952380952380952;0.6976109215017064;0.7;0.3;2018-09-15 13:57:11.549696
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 13:57:16.764422
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 13:57:16.797334
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 13:57:16.826330
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.8222222222222222;0.8000000000000002;0.8;0.2;2018-09-15 14:00:35.963714
lbp;svm;0.7;0.7666666666666667;0.7375787872201696;0.7;0.3;2018-09-15 14:00:35.991998
lbp;nv;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:00:36.021704
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 14:00:41.569703
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:00:41.617762
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:00:41.665665
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.8222222222222222;0.8000000000000002;0.8;0.2;2018-09-15 14:12:48.996827
lbp;svm;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:12:49.033410
lbp;nv;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:12:49.063125
lbp;sgdc;0.45;0.20500000000000002;0.28095238095238095;0.45;0.55;2018-09-15 14:12:49.127253
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 14:12:54.492358
